Year,Pivot Field Names,Pivot Field Values
1985,Wind Elec Per Capita,10.952
1986,Wind Elec Per Capita,25.643
1987,Wind Elec Per Capita,35.919
1988,Wind Elec Per Capita,60.2
1989,Wind Elec Per Capita,104.907
1990,Wind Elec Per Capita,148.774
1991,Wind Elec Per Capita,178.578
1992,Wind Elec Per Capita,228.127
1993,Wind Elec Per Capita,271.638
1994,Wind Elec Per Capita,310.86
1995,Wind Elec Per Capita,335.653
1996,Wind Elec Per Capita,372.029
1997,Wind Elec Per Capita,567.424
1998,Wind Elec Per Capita,866.097
1999,Wind Elec Per Capita,1025.545
2000,Wind Elec Per Capita,1626.41
2001,Wind Elec Per Capita,1810.491
2002,Wind Elec Per Capita,2207.541
2003,Wind Elec Per Capita,2722.057
2004,Wind Elec Per Capita,3488.937
2005,Wind Elec Per Capita,4260.351
2006,Wind Elec Per Capita,4965.052
2007,Wind Elec Per Capita,6171.631
2008,Wind Elec Per Capita,7026.77
2009,Wind Elec Per Capita,8474.538
2010,Wind Elec Per Capita,11045.772
2011,Wind Elec Per Capita,13503.494
2012,Wind Elec Per Capita,15392.298
2013,Wind Elec Per Capita,17973.093
2014,Wind Elec Per Capita,19752.778
2015,Wind Elec Per Capita,23489.359
2016,Wind Elec Per Capita,23873.285
2017,Wind Elec Per Capita,27553.11
2018,Wind Elec Per Capita,29315.326
2019,Wind Elec Per Capita,33655.515
1985,Solar Elec Per Capita,0.106
1986,Solar Elec Per Capita,0.133
1987,Solar Elec Per Capita,0.084
1988,Solar Elec Per Capita,0.091
1989,Solar Elec Per Capita,2.283
1990,Solar Elec Per Capita,3.421
1991,Solar Elec Per Capita,4.743
1992,Solar Elec Per Capita,5.161
1993,Solar Elec Per Capita,6.331
1994,Solar Elec Per Capita,6.886
1995,Solar Elec Per Capita,7.661
1996,Solar Elec Per Capita,8.676
1997,Solar Elec Per Capita,9.53
1998,Solar Elec Per Capita,10.767
1999,Solar Elec Per Capita,12.205
2000,Solar Elec Per Capita,23.914
2001,Solar Elec Per Capita,27.261
2002,Solar Elec Per Capita,32.5
2003,Solar Elec Per Capita,41.175
2004,Solar Elec Per Capita,67.337
2005,Solar Elec Per Capita,117.999
2006,Solar Elec Per Capita,149.017
2007,Solar Elec Per Capita,197.159
2008,Solar Elec Per Capita,286.527
2009,Solar Elec Per Capita,507.456
2010,Solar Elec Per Capita,938.561
2011,Solar Elec Per Capita,2096.834
2012,Solar Elec Per Capita,3400.771
