iso_code,country,year,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_gdp,energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,sum,biofuel_perc,coal_perc,fossil_perc,gas_perc,hydro_perc,nuclear_perc,oil_perc,renewable_perc,solar_perc,wind_perc
AFG,Afghanistan,2015,0,0,0.144,0.144,1.001,0,0,1.034,0.033,0,0.524,956.51,34.23,34414000,32.917,30.046,2.356,0,0,6.112054329,6.112054329,42.48726655,0,0,43.88794567,1.400679117,0
AFG,Afghanistan,2016,0,0,0.15,0.15,1.025,0,0,1.06,0.035,0,0.556,1010.014,34.197,35383000,35.737,29.958,2.42,0,0,6.198347107,6.198347107,42.3553719,0,0,43.80165289,1.446280992,0
AFG,Afghanistan,2017,0,0,0.168,0.168,1.05,0,0,1.088,0.038,0,0,0,34.604,36296000,0,29.976,2.512,0,0,6.687898089,6.687898089,41.79936306,0,0,43.31210191,1.512738854,0
AFG,Afghanistan,2018,0,0,0.15,0.15,0.928,0,0,0.965,0.037,0,0,0,29.996,37172000,0,25.96,2.23,0,0,6.726457399,6.726457399,41.61434978,0,0,43.2735426,1.659192825,0
AFG,Afghanistan,2019,0,0,0.152,0.152,0.84,0,0,0.88,0.04,0,0,0,27.128,38042000,0,23.132,2.064,0,0,7.364341085,7.364341085,40.69767442,0,0,42.63565891,1.937984496,0
N/A,Africa,2015,0,246.836,632.339,292.686,119.857,12.237,92.817,139.477,3.596,8.888,0,4207.085,665.896,1182439040,4974.621,117.957,1548.733,0,15.9379312,40.82943929,18.89841567,7.739035715,0.790129738,5.993092418,9.005877708,0.232189796,0.573888462
N/A,Africa,2016,0,249.796,643.852,306.894,115.801,15.913,87.162,139.253,4.939,11.306,0,4208.474,661.538,1213041024,5105.052,114.797,1574.916,0,15.86090941,40.88167242,19.48637261,7.352836596,1.010403095,5.534390406,8.841931887,0.313604027,0.717879557
N/A,Africa,2017,0,249.721,656.595,326.867,123.816,15.756,80.008,150.829,6.984,12.458,0,4195.585,665.553,1244221952,5220.239,121.223,1623.034,0,15.38606092,40.45479023,20.13925771,7.628675678,0.970774488,4.929533208,9.293027749,0.430305218,0.767574801
N/A,Africa,2018,0,256.569,667.189,331.303,130.388,11.09,79.318,162.585,9.85,14.288,0,4222.128,662.89,1275921024,5387.102,127.426,1662.58,0,15.43197921,40.12973812,19.9270411,7.842509834,0.667035571,4.770777948,9.7790783,0.592452694,0.859387217
N/A,Africa,2019,0,253.556,675.303,340.473,132.735,14.214,81.274,177.805,19.378,17.508,0,4219.738,665.189,1308064000,5519.688,135.93,1712.246,0,14.80838618,39.43960155,19.88458434,7.752098705,0.830137726,4.746631033,10.38431394,1.131729903,1.022516624
ALB,Albania,2015,0,0,0,0,5.836,0,0,5.837,0.001,0,1.014,11651.654,2019.042,2891000,33.685,2019.042,11.674,0,0,0,0,49.99143396,0,0,50,0.008566044,0
ALB,Albania,2016,0,0,0,0,7.704,0,0,7.706,0.002,0,1.148,13668.121,2670.194,2886000,39.446,2670.194,15.412,0,0,0,0,49.9870231,0,0,50,0.012976901,0
ALB,Albania,2017,0,0,0,0,4.48,0,0,4.481,0.001,0,0,0,1553.658,2884000,0,1553.658,8.962,0,0,0,0,49.98884178,0,0,50,0.011158224,0
ALB,Albania,2018,0,0,0,0,8.466,0,0,8.467,0.001,0,0,0,2937.038,2883000,0,2937.038,16.934,0,0,0,0,49.99409472,0,0,50,0.005905279,0
ALB,Albania,2019,0,0,0,0,5.154,0,0,5.176,0.022,0,0,0,1796.578,2881000,0,1796.578,10.352,0,0,0,0,49.78748068,0,0,50,0.21251932,0
DZA,Algeria,2015,0,0,64.461,64.461,0.144,0,0,0.221,0.058,0.019,1.204,15542.75,1628.132,39728000,617.482,5.563,129.364,0,0,49.82916422,49.82916422,0.111313812,0,0,0.170835781,0.04483473,0.014687239
DZA,Algeria,2016,0,0,66.423,66.423,0.216,0,0,0.332,0.087,0.029,1.155,15210.944,1646.2,40551000,616.819,8.183,133.51,0,0,49.75132949,49.75132949,0.161785634,0,0,0.248670512,0.065163658,0.021721219
DZA,Algeria,2017,0,0,70.86,70.86,0.055,0,0,0.635,0.572,0.008,0,15064.678,1727.402,41389000,623.512,15.353,142.99,0,0,49.555913,49.555913,0.038464228,0,0,0.444086999,0.400027974,0.005594797
DZA,Algeria,2018,0,0,71.327,71.327,0.116,0,0,0.73,0.603,0.011,0,15915.297,1706.38,42228000,672.071,17.283,144.114,0,0,49.49345657,49.49345657,0.080491833,0,0,0.506543431,0.418418752,0.007632846
DZA,Algeria,2019,0,0,73.616,73.616,0.106,0,0,0.732,0.615,0.011,0,16376.102,1726.9,43053000,705.04,17.013,148.696,0,0,49.50772045,49.50772045,0.071286383,0,0,0.49227955,0.413595524,0.007397644
ASM,American Samoa,2015,0,0,0.163,0,0,0,0.163,0,0,0,0,25726.729,2910.714,56000,1.441,0,0.326,0,0,50,0,0,0,50,0,0,0
ASM,American Samoa,2016,0,0,0.17,0,0,0,0.17,0,0,0,0,26149.812,3035.714,56000,1.464,0,0.34,0,0,50,0,0,0,50,0,0,0
ASM,American Samoa,2017,0,0,0.167,0,0,0,0.167,0,0,0,0,0,2982.143,56000,0,0,0.334,0,0,50,0,0,0,50,0,0,0
ASM,American Samoa,2018,0,0,0.163,0,0,0,0.163,0,0,0,0,0,2963.636,55000,0,0,0.326,0,0,50,0,0,0,50,0,0,0
ASM,American Samoa,2019,0,0,0.163,0,0,0,0.163,0,0,0,0,0,2963.636,55000,0,0,0.326,0,0,50,0,0,0,50,0,0,0
AGO,Angola,2015,0.042,0,4.212,2.294,5.037,0,1.918,5.097,0.018,0,0.765,4062.531,333.852,27884000,113.28,182.793,18.618,0.225588141,0,22.62326781,12.32140939,27.05446342,0,10.30185842,27.37673219,0.096680632,0
AGO,Angola,2016,0.155,0,4.273,2.327,5.757,0,1.946,5.93,0.018,0,0.703,3605.892,353.773,28842000,104.001,205.612,20.406,0.759580516,0,20.93991963,11.40350877,28.2122905,0,9.53641086,29.06008037,0.08820935,0
AGO,Angola,2017,0.2,0,2.882,1.569,7.576,0,1.313,7.794,0.018,0,0,0,358.052,29817000,0,261.395,21.352,0.936680405,0,13.49756463,7.348257774,35.48145373,0,6.149306857,36.50243537,0.084301236,0
AGO,Angola,2018,0.2,0,2.821,1.536,8.647,0,1.285,8.865,0.018,0,0,0,379.279,30810000,0,287.72,23.372,0.855724799,0,12.06999829,6.571966456,36.99726168,0,5.498031833,37.93000171,0.077015232,0
AGO,Angola,2019,0.253,0,2.357,1.284,9.85,0,1.074,10.121,0.018,0,0,0,392.074,31825000,0,318.006,24.957,1.013743639,0,9.4442441,5.144849141,39.46788476,0,4.303401851,40.55375245,0.072124053,0
ATG,Antigua and Barbuda,2015,0,0,0.32,0,0,0,0.32,0.005,0.005,0,0,32408.04,3461.223,94000,3.046,56.968,0.65,0,0,49.23076923,0,0,0,49.23076923,0.769230769,0.769230769,0
ATG,Antigua and Barbuda,2016,0,0,0.323,0,0,0,0.323,0.006,0.006,0,0,32287.022,3458.021,95000,3.067,58.021,0.658,0,0,49.0881459,0,0,0,49.0881459,0.911854103,0.911854103,0
ATG,Antigua and Barbuda,2017,0,0,0.323,0,0,0,0.323,0.006,0.006,0,0,0,3464.653,95000,0,64.653,0.658,0,0,49.0881459,0,0,0,49.0881459,0.911854103,0.911854103,0
ATG,Antigua and Barbuda,2018,0,0,0.325,0,0,0,0.325,0.013,0.013,0,0,0,3521.594,96000,0,136.177,0.676,0,0,48.07692308,0,0,0,48.07692308,1.923076923,1.923076923,0
ATG,Antigua and Barbuda,2019,0,0,0.327,0,0,0,0.327,0.015,0.015,0,0,0,3522.337,97000,0,154.639,0.684,0,0,47.80701754,0,0,0,47.80701754,2.192982456,2.192982456,0
ARG,Argentina,2015,1.194,2.487,97.54,71.293,31.939,6.519,23.761,33.741,0.015,0.593,1.186,23123.79,3199.081,43075000,996.057,783.317,269.082,0.443730907,0.924253573,36.24917311,26.49489747,11.86961595,2.422681562,8.830393709,12.53930029,0.005574509,0.220378918
ARG,Argentina,2016,1.214,1.977,100.504,76.574,29.405,7.677,21.953,31.181,0.014,0.548,1.211,22832.315,3203.131,43508000,993.388,716.672,271.047,0.447892801,0.729393795,37.07991603,28.25118891,10.848672,2.832350109,8.099333326,11.50390892,0.005165156,0.202178958
ARG,Argentina,2017,1.389,2.202,99.016,84.051,31.459,5.716,12.763,33.476,0.016,0.612,0,22550.74,3145.603,43937000,990.812,761.914,270.7,0.513114149,0.81344662,36.57776136,31.04950129,11.62135205,2.111562615,4.714813447,12.36645733,0.005910602,0.226080532
