iso_code,country,year,biofuel_elec_per_capita,biofuel_consumption,biofuel_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_gdp,energy_per_capita,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_consumption,renewables_energy_per_capita,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
AFG,Afghanistan,1959,0,0,0,0,0,0,0.334,37.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8834000,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,1969,0,0,0,0,0,0,1.107,101.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10894000,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,1979,0,0,0,0,0,0,1.075,80.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13411000,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,1989,0,0,0,0,0,0,0.737,62.122,0,0,0,0,0,0,0,0,0,0,0,1.144,2690.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11869000,31.928,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,1999,0,0,0,0,0,0,0.006,0.288,0,0,0,0,0,0,0,0,0,0,0,0.378,327.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20171000,6.612,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,2009,0,0,0,0,0,0,2.903,102.231,0.938,0,0,0.162,0.162,0.776,0,0,0.776,0,0,0.564,944.117,0,0,5.705,0,5.705,0,0,0,0,27.329,0,0,0,0,0,0,0,0,0,33.038,28395000,26.808,27.332,0,0,0,0,0,0,0.004,0
AFG,Afghanistan,2019,0,0,0,0,0,0,0,0,1.032,0,0,0.152,0.152,0.84,0,0,0.88,0.04,0,0,0,0,0,3.996,0,3.996,0,0,0,0,22.081,0,0,0,0,0,0,0,0,0,27.128,38042000,0,23.132,0,0,0,1.051,0,0,0,0
N/A,Africa,1959,0,0,0,0,0,0,291.53,1053.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.646,5.947,0,0,0,0,0,0,0,0,0,67.675,244.525,0,276760992,0,0,0,0,0,0,0,0,0,0
N/A,Africa,1969,0,0,0,346.643,0,978.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2255.87,737.671,2082.553,0,12.492,0,35.267,0,0,61.391,0,173.317,0,0,0,378.536,0,1068.662,2813.719,7943.535,0,354215008,799.063,0,61.391,173.317,0,0,0,0,0,0
N/A,Africa,1979,0,0,0,507.247,0,1095.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3414.328,1443.222,3115.872,0,148.843,0,321.347,283.33,611.701,137.681,0,297.25,0,0,0,787.132,0,1699.394,3794.055,8191.247,0,463184000,1581.462,0,138.24,298.455,0,0,0,0,0,0
