iso_code,country,year,biofuel,coal,gas,hydro,nuclear,oil,renewables,solar,wind,total
ISL,Iceland,2019,0,0,0,39305.044,0,8.319,56819.566,0,18.947,56827.885
NOR,Norway,2019,83.473,0,438.981,22989.939,0,0,24103.86,2.417,1028.032,24542.841
BHR,Bahrain,2019,0,0,17110.87,0,0,16.492,5.637,5.027,0.609,17132.998
KWT,Kuwait,2019,0,0,16966.4,0,0,0,37.556,33.278,4.279,17003.957
SWE,Sweden,2019,1282.677,33.38,38.362,6632.955,6693.523,292.646,9941.029,40.554,1984.843,16998.941
CAN,Canada,2019,290.423,1290.164,1636.199,10103.42,2535.457,113.567,11328.758,114.191,816.127,16904.146
QAT,Qatar,2019,40.534,0,16612.973,0,0,0,43.487,2.953,0,16656.46
N/A,North America,2019,0,3094.413,5389.381,1846.491,2628.871,168.536,3420.097,341.277,968.008,14799.991
ARE,United Arab Emirates,2019,0.614,0,12879.846,0,0,0.31,427.49,426.773,0.102,13307.645
USA,United States of America,2019,174.759,2932.421,4857.104,858.836,2459.725,96.552,2301.652,324.842,896.194,12647.454
FIN,Finland,2019,2302.644,811.033,751.892,2209.897,4302.643,713.952,5636.372,16.31,1107.522,12215.892
TWN,Taiwan,2019,159.628,4888.237,3523.293,233.238,1310.129,416.727,645.878,174.312,78.699,10784.264
CYM,Cayman Islands,2019,0,0,0,0,0,10446.154,248.692,248.692,0,10694.846
NCL,New Caledonia,2019,0,0,0,1093.694,0,9416.961,1252.704,0,159.011,10669.665
KOR,South Korea,2019,199.492,4313.642,2724.788,53.65,2709.79,309.956,609.244,254.212,48.088,10667.421
SAU,Saudi Arabia,2019,0,0,6205.91,0,0,4337.219,4.663,4.523,0.14,10547.792
GUM,Guam,2019,0,0,0,0,0,9982.036,407.186,407.186,0,10389.222
AUS,Australia,2019,138.872,5634.957,2048.902,616.516,0,223.099,2158.467,564.139,838.9,10065.425
BRN,Brunei,2019,0,0,9385.527,0,0,0,4.619,4.619,0,9390.146
BMU,Bermuda,2019,0,0,0,0,0,9386.243,0,0,0,9386.243
ABW,Aruba,2019,0,0,0,0,0,7968.553,1384.075,101.057,1283.019,9352.629
NZL,New Zealand,2019,126.908,688.445,698.083,5295.248,0,213.418,7478.412,25.716,464.577,9078.357
GRL,Greenland,2019,0,0,0,7229.708,0,1775.556,7229.708,0,0,9005.263
SGP,Singapore,2019,229.497,0,6032.468,0,0,2494.582,288.249,58.753,0,8815.3
FRA,France,2019,127.981,67.752,577.119,879.542,6125.316,178.575,1725.74,192.979,515.877,8674.502
BTN,Bhutan,2019,0,0,0,8660.987,0,0.061,8663.609,1.311,1.311,8663.67
